,url
A,https://www.basketball-reference.com/players/a/
B,https://www.basketball-reference.com/players/b/
C,https://www.basketball-reference.com/players/c/
D,https://www.basketball-reference.com/players/d/
E,https://www.basketball-reference.com/players/e/
F,https://www.basketball-reference.com/players/f/
G,https://www.basketball-reference.com/players/g/
H,https://www.basketball-reference.com/players/h/
I,https://www.basketball-reference.com/players/i/
J,https://www.basketball-reference.com/players/j/
K,https://www.basketball-reference.com/players/k/
L,https://www.basketball-reference.com/players/l/
M,https://www.basketball-reference.com/players/m/
N,https://www.basketball-reference.com/players/n/
O,https://www.basketball-reference.com/players/o/
P,https://www.basketball-reference.com/players/p/
Q,https://www.basketball-reference.com/players/q/
R,https://www.basketball-reference.com/players/r/
S,https://www.basketball-reference.com/players/s/
T,https://www.basketball-reference.com/players/t/
U,https://www.basketball-reference.com/players/u/
V,https://www.basketball-reference.com/players/v/
W,https://www.basketball-reference.com/players/w/
Y,https://www.basketball-reference.com/players/y/
Z,https://www.basketball-reference.com/players/z/
