Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Hall_of_Fame,Active,Url,Path
Alaa Abdelnaby,1991,1995,F-C,6-10,240.0,"June 24, 1968",Duke,False,False,https://www.basketball-reference.com/players/a/abdelal01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{abdelal01.html
Zaid Abdul-Aziz,1969,1978,C-F,6-9,235.0,"April 7, 1946",Iowa State,False,False,https://www.basketball-reference.com/players/a/abdulza01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{abdulza01.html
Kareem Abdul-Jabbar,1970,1989,C,7-2,225.0,"April 16, 1947",UCLA,True,False,https://www.basketball-reference.com/players/a/abdulka01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{abdulka01.html
Mahmoud Abdul-Rauf,1991,2001,G,6-1,162.0,"March 9, 1969",LSU,False,False,https://www.basketball-reference.com/players/a/abdulma02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{abdulma02.html
Tariq Abdul-Wahad,1998,2003,F,6-6,223.0,"November 3, 1974","Michigan, San Jose State",False,False,https://www.basketball-reference.com/players/a/abdulta01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{abdulta01.html
Shareef Abdur-Rahim,1997,2008,F,6-9,225.0,"December 11, 1976",California,False,False,https://www.basketball-reference.com/players/a/abdursh01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{abdursh01.html
Tom Abernethy,1977,1981,F,6-7,220.0,"May 6, 1954",Indiana,False,False,https://www.basketball-reference.com/players/a/abernto01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{abernto01.html
Forest Able,1957,1957,G,6-3,180.0,"July 27, 1932",Western Kentucky,False,False,https://www.basketball-reference.com/players/a/ablefo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{ablefo01.html
John Abramovic,1947,1948,F,6-3,195.0,"February 9, 1919",Salem University,False,False,https://www.basketball-reference.com/players/a/abramjo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{abramjo01.html
Álex Abrines,2017,2019,G-F,6-6,200.0,"August 1, 1993",,False,False,https://www.basketball-reference.com/players/a/abrinal01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{a{abrinal01.html
