Season,Lg,Champion,Url_Season_Summary,Url_Season_Standings,Url_Playoff_Standings
2024,NBA,,https://www.basketball-reference.com/leagues/NBA_2024.html,https://www.basketball-reference.com/leagues/NBA_2024_standings.html,https://www.basketball-reference.com/playoffs/NBA_2024_standings.html
2023,NBA,Denver Nuggets,https://www.basketball-reference.com/leagues/NBA_2023.html,https://www.basketball-reference.com/leagues/NBA_2023_standings.html,https://www.basketball-reference.com/playoffs/NBA_2023_standings.html
2022,NBA,Golden State Warriors,https://www.basketball-reference.com/leagues/NBA_2022.html,https://www.basketball-reference.com/leagues/NBA_2022_standings.html,https://www.basketball-reference.com/playoffs/NBA_2022_standings.html
2021,NBA,Milwaukee Bucks,https://www.basketball-reference.com/leagues/NBA_2021.html,https://www.basketball-reference.com/leagues/NBA_2021_standings.html,https://www.basketball-reference.com/playoffs/NBA_2021_standings.html
2020,NBA,Los Angeles Lakers,https://www.basketball-reference.com/leagues/NBA_2020.html,https://www.basketball-reference.com/leagues/NBA_2020_standings.html,https://www.basketball-reference.com/playoffs/NBA_2020_standings.html
2019,NBA,Toronto Raptors,https://www.basketball-reference.com/leagues/NBA_2019.html,https://www.basketball-reference.com/leagues/NBA_2019_standings.html,https://www.basketball-reference.com/playoffs/NBA_2019_standings.html
2018,NBA,Golden State Warriors,https://www.basketball-reference.com/leagues/NBA_2018.html,https://www.basketball-reference.com/leagues/NBA_2018_standings.html,https://www.basketball-reference.com/playoffs/NBA_2018_standings.html
2017,NBA,Golden State Warriors,https://www.basketball-reference.com/leagues/NBA_2017.html,https://www.basketball-reference.com/leagues/NBA_2017_standings.html,https://www.basketball-reference.com/playoffs/NBA_2017_standings.html
2016,NBA,Cleveland Cavaliers,https://www.basketball-reference.com/leagues/NBA_2016.html,https://www.basketball-reference.com/leagues/NBA_2016_standings.html,https://www.basketball-reference.com/playoffs/NBA_2016_standings.html
2015,NBA,Golden State Warriors,https://www.basketball-reference.com/leagues/NBA_2015.html,https://www.basketball-reference.com/leagues/NBA_2015_standings.html,https://www.basketball-reference.com/playoffs/NBA_2015_standings.html
2014,NBA,San Antonio Spurs,https://www.basketball-reference.com/leagues/NBA_2014.html,https://www.basketball-reference.com/leagues/NBA_2014_standings.html,https://www.basketball-reference.com/playoffs/NBA_2014_standings.html
